,이름,포지션,출전,클린시트,실점,태클 횟수,태클 성공률,슛 블록 횟수,인터셉트 횟수,걷어내기 횟수,해딩 걷어내기 횟수,라인 밖으로 걷어내기 횟수,볼 소유권 가져오기 횟수,경합 승리,경합 실패,공중볼 경합 승리,공중볼 경합 패배,자책골,실점으로 이어진 실책,어시스트,패스 횟수,경기당 평균 패스 횟수,결정적 기회 창출 횟수,크로스 횟수,크로스 성공률,스루패스 횟수,긴 패스 성공률,경고,퇴장,반칙,옵사이드,골,해딩 골,오른발 골,왼발 골,골포스트,경기당 골,페널티킥 골,프리킥 골,슈팅 횟수,유효 수팅,슈팅 성공률,결정적 찬스 놓친 횟수,선방,페널티킥 선방,펀칭,공중볼 처리,캐칭,던지기 횟수,골킥
584,Matthew Smith ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
585,Neal Maupay ,공격수,37,,,20,,31,4,8,3,,,,,,,,,3,668,18.05,3,12,,,,3,0,38,15,10,3,2,5,1,0.27,1,0,96,38,40%,10,,,,,,,
586,Konstantinos Mavropanos ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
587,James McArthur ,미드필더,37,,,88,58%,8,60,47,17,,185,195,250,45,75,,0,3,"1,428",38.59,3,44,16%,4,62,6,0,57,4,0,0,0,0,0,0,0,0,28,6,21%,2,,,,,,,
588,Oliver McBurnie ,공격수,36,,,37,,7,15,40,35,,,,,,,,,0,617,17.14,2,9,,,,4,0,28,5,6,2,4,0,0,0.17,0,0,50,25,50%,10,,,,,,,
589,Sam McCallum ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
590,James McCarthy ,미드필더,33,,,82,57%,3,24,10,1,,133,122,98,15,19,,0,0,783,23.73,1,35,31%,0,53,9,0,31,0,0,0,0,0,0,0,0,0,12,3,25%,0,,,,,,,
591,Ross McCormack ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
592,George McEachran ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
593,John McGinn ,미드필더,28,,,53,66%,12,25,15,6,,151,191,177,19,31,,0,3,715,25.54,3,66,21%,3,82,3,0,37,0,3,0,0,3,2,0.11,0,0,55,20,36%,4,,,,,,,
594,David McGoldrick ,공격수,28,,,41,,8,3,23,17,,,,,,,,,2,610,21.79,4,8,,,,2,0,30,12,2,0,1,1,0,0.07,0,0,46,20,43%,15,,,,,,,
595,Michael McGovern ,골키퍼,2,0,6,,,,,,,,,,,,,0,0,0,40,20,,,,,4,0,0,0,,0,,,,,,,,,,,,7,1,2,0,0,11,14
596,Giovanni McGregor ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
597,Harry McKirdy ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
598,Kenny McLean ,미드필더,37,,,44,66%,7,38,64,47,,191,225,197,96,96,,1,1,"1,680",45.41,5,53,21%,9,81,5,0,24,1,1,1,0,0,2,0.03,0,0,30,10,33%,0,,,,,,,
599,Dwight McNeil ,미드필더,38,,,47,,16,30,27,11,,,,,,,,,6,"1,029",27.08,12,257,,,,5,0,29,0,2,0,0,2,2,0.05,0,0,48,14,29%,1,,,,,,,
600,Sam McQueen ,수비수,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
601,Scott McTominay ,미드필더,27,,,43,51%,12,31,33,20,,147,170,124,44,31,,1,1,"1,011",37.44,2,14,21%,2,62,2,0,36,0,4,0,3,1,0,0.15,0,0,29,10,34%,1,,,,,,,
602,Zech Medley ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
603,Ben Mee ,수비수,32,13,45,41,54%,4,42,160,80,0,176,195,125,131,90,0,2,1,"1,257",39.28,3,3,33%,0,102,7,0,25,3,1,1,0,0,1,,,,,,,,,,,,,,
604,D'Mani Mellor ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
605,Nampalys Mendy ,미드필더,7,,,7,71%,0,6,4,2,,32,21,10,5,2,,0,0,209,29.86,0,2,100%,0,10,0,0,4,0,0,0,0,0,0,0,0,0,1,1,100%,0,,,,,,,
606,Teden Mengi ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
607,Chris Mepham ,수비수,12,1,19,20,45%,1,17,62,35,0,54,61,43,33,23,0,1,0,500,41.67,0,3,33%,0,19,1,0,11,1,1,0,1,0,0,,,,,,,,,,,,,,
608,Max Meyer ,미드필더,17,,,19,58%,2,7,2,0,,27,43,47,2,9,,0,0,201,11.82,0,9,11%,0,3,1,0,6,2,0,0,0,0,0,0,0,0,9,2,22%,0,,,,,,,
609,Matt Miazga ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
610,Simon Mignolet ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
611,Luka Milivojevic ,미드필더,31,,,61,52%,10,42,37,14,,179,128,144,35,28,,0,1,"1,433",46.23,1,144,22%,3,104,12,0,50,1,3,0,3,0,0,0.1,2,1,31,9,29%,0,,,,,,,
612,Liam Millar ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
613,James Milner ,미드필더,22,,,16,63%,2,7,16,7,,63,51,50,13,13,,0,2,747,33.95,1,20,10%,3,49,4,0,11,1,2,0,2,0,0,0.09,2,0,12,4,33%,1,,,,,,,
614,Yerry Mina ,수비수,29,4,37,39,56%,6,28,98,58,0,131,170,97,114,70,1,0,1,"1,361",46.93,2,4,0%,1,108,3,0,20,2,2,1,1,0,0,,,,,,,,,,,,,,
615,Takumi Minamino ,공격수,10,,,3,,3,0,3,0,,,,,,,,,0,106,10.6,0,2,,,,0,0,7,0,0,0,0,0,0,0,0,0,8,2,25%,1,,,,,,,
616,Tyrone Mings ,수비수,33,6,53,15,73%,0,30,189,83,3,201,105,70,67,46,0,2,2,"1,384",41.94,1,7,14%,0,117,7,0,20,2,2,0,0,2,0,,,,,,,,,,,,,,
617,Kevin Mirallas ,미드필더,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
618,Tyrick Mitchell ,수비수,4,0,4,5,40%,0,2,1,0,0,7,7,18,0,6,0,0,0,94,23.5,0,4,75%,0,3,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
619,Mix Diskerud ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
620,Henrikh Mkhitaryan ,미드필더,3,,,0,0%,1,0,1,1,,4,6,13,2,1,,0,0,69,23,0,4,0%,1,1,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0%,1,,,,,,,
621,Jan Mlakar ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
622,Mohamed Elneny ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
623,Mohamed Salah ,공격수,34,,,16,,37,8,2,1,,,,,,,,,10,979,28.79,13,45,,,,1,0,17,20,19,2,2,15,5,0.56,3,0,132,59,45%,15,,,,,,,
624,Jayson Molumby ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
625,Mart챠n Montoya ,수비수,27,6,32,57,51%,2,24,31,14,0,87,103,102,22,19,0,0,1,"1,004",37.19,3,44,30%,1,48,5,0,27,4,0,0,0,0,0,,,,,,,,,,,,,,
626,Elliott Moore ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
627,Aaron Mooy ,미드필더,31,,,37,65%,8,23,27,10,,134,101,132,15,25,,0,2,970,31.29,4,109,21%,4,43,1,1,13,0,2,0,1,1,0,0.06,0,0,33,8,24%,3,,,,,,,
628,횁lvaro Morata ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
629,Marlos Moreno ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
630,Wes Morgan ,수비수,11,1,6,4,25%,1,7,19,7,0,16,26,23,20,16,0,0,0,245,22.27,0,0,0%,0,7,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,
631,Carlton Morris ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
632,Ravel Morrison ,미드필더,1,,,0,0%,0,0,0,0,,0,0,2,0,0,,0,0,6,6,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0%,0,,,,,,,
633,Victor Moses ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
634,Mason Mount ,미드필더,37,,,37,46%,28,16,18,7,,141,125,199,10,47,,0,5,"1,241",33.54,8,136,24%,3,26,3,0,37,4,7,0,7,0,3,0.19,0,1,78,29,37%,9,,,,,,,
635,Lys Mousset ,공격수,30,,,9,,14,4,2,1,,,,,,,,,4,240,8,7,4,,,,1,0,24,16,6,0,4,2,1,0.2,0,0,37,9,24%,6,,,,,,,
636,Joel Mumbongo ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
637,Arijanet Muric ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
638,Jacob Murphy ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
639,Glenn Murray ,공격수,23,,,5,,3,1,11,6,,,,,,,,,1,167,7.26,2,4,,,,0,0,15,10,1,0,1,0,0,0.04,0,0,18,5,28%,4,,,,,,,
640,Admiral Muskwe ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
641,Shkodran Mustafi ,수비수,15,4,17,17,59%,2,18,70,44,0,42,88,42,65,21,0,0,1,844,56.27,1,2,50%,0,48,2,0,14,0,0,0,0,0,0,,,,,,,,,,,,,,
642,Jordon Mutch ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
643,Yoshinori Muto ,공격수,8,,,3,,0,0,0,0,,,,,,,,,0,32,4,0,1,,,,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0%,0,,,,,,,
644,Daniel N'Lundulu ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
645,Nacho Monreal ,수비수,3,1,4,1,100%,0,3,10,8,0,14,11,14,7,8,0,0,0,177,59,1,4,0%,0,4,0,0,1,2,0,0,0,0,0,,,,,,,,,,,,,,
646,Marvelous Nakamba ,미드필더,29,,,55,51%,0,39,32,7,,155,115,110,23,29,,1,0,782,26.97,0,4,0%,0,24,5,0,26,0,0,0,0,0,0,0,0,0,7,1,14%,0,,,,,,,
647,Samir Nasri ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
648,Marc Navarro ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
649,Tanguy Ndombele ,미드필더,21,,,24,67%,3,14,6,1,,79,97,70,7,9,,0,2,632,30.1,1,12,17%,4,19,3,0,14,0,2,0,1,1,0,0.1,0,0,9,4,44%,0,,,,,,,
650,Layton Ndukwu ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
651,Reiss Nelson ,공격수,17,,,11,,5,3,2,0,,,,,,,,,0,207,12.18,0,24,,,,1,0,8,4,1,0,1,0,0,0.06,0,0,11,4,36%,0,,,,,,,
652,N챕lson Oliveira ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
653,Jeremy Ngakia ,수비수,5,0,8,15,47%,0,7,15,3,0,16,32,36,7,13,0,0,0,106,21.2,0,12,8%,1,6,0,0,4,1,0,0,0,0,0,,,,,,,,,,,,,,
654,Oumar Niasse ,공격수,3,,,4,,0,1,0,0,,,,,,,,,0,3,1,0,1,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
655,Eddie Nketiah ,공격수,13,,,7,,2,2,5,2,,,,,,,,,0,140,10.77,1,1,,,,0,1,16,3,2,0,1,1,4,0.15,0,0,15,5,33%,3,,,,,,,
656,Georges-K챕vin Nkoudou ,미드필더,1,,,0,0%,1,0,0,0,,0,0,1,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0%,0,,,,,,,
657,Felix Nmecha ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
658,Mark Noble ,미드필더,33,,,52,58%,3,20,10,8,,189,123,121,15,12,,0,3,"1,504",45.58,5,41,32%,4,111,5,0,28,1,4,0,4,0,0,0.12,3,0,17,6,35%,0,,,,,,,
659,Kornelius Normann Hansen ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
660,Rhys Norrington-Davies ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
661,James Norris ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
662,Oliver Norwood ,미드필더,38,,,66,56%,5,47,39,19,,275,135,134,44,30,,0,1,"2,007",52.82,6,198,27%,1,231,8,0,32,1,1,0,1,0,0,0.03,1,0,17,6,35%,0,,,,,,,
663,횠rjan Nyland ,골키퍼,7,1,12,,,,,,,,,,,,,0,0,0,152,21.71,,,,,35,0,0,0,,0,,,,,,,,,,,,15,0,1,3,2,29,53
664,Jack O'Connell ,수비수,33,12,28,23,61%,3,42,144,76,0,184,182,112,135,66,0,1,1,"1,557",47.18,6,51,22%,1,125,4,0,22,2,0,0,0,0,0,,,,,,,,,,,,,,
665,Thomas O'Connor ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
666,Aaron O'Driscoll ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
667,Kieran O'Hara ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
668,Callum O'Hare ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
669,Warren O'Hora ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
670,Aiden O'Neill ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
671,Michael Obafemi ,공격수,21,,,7,,5,6,0,0,,,,,,,,,2,137,6.52,2,2,,,,1,0,11,3,3,0,2,1,0,0.14,0,0,12,5,42%,0,,,,,,,
672,Pedro Obiang ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
673,Nnamdi Ofoborh ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
674,Angelo Ogbonna ,수비수,31,6,44,38,63%,1,27,130,65,0,141,159,97,102,62,1,0,0,977,31.52,0,2,50%,1,76,4,0,22,0,2,0,0,1,0,,,,,,,,,,,,,,
675,Sheyi Ojo ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
676,Stefano Okaka ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
677,Shinji Okazaki ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
678,Ola Aina ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
679,James Olayinka ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
680,Oludare Olufunwa ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
681,Josh Onomah ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
682,Henry Onyekuru ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
683,Divock Origi ,공격수,28,,,12,,4,4,5,2,,,,,,,,,1,196,7,1,18,,,,1,0,12,0,4,1,2,1,0,0.14,0,0,14,6,43%,0,,,,,,,
684,Ben Osborn ,미드필더,13,,,15,67%,1,6,6,2,,43,31,35,6,9,,0,0,231,17.77,1,16,19%,0,8,0,0,9,1,0,0,0,0,0,0,0,0,3,1,33%,0,,,,,,,
685,Jordi Osei-Tutu ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
686,David Ospina ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
687,Leo Ostigard ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
688,Nicol찼s Otamendi ,수비수,24,6,21,28,50%,2,21,73,33,0,84,94,73,61,37,0,1,0,"1,533",63.88,0,0,0%,0,60,3,0,21,0,2,1,1,0,0,,,,,,,,,,,,,,
689,Owen Otasowie ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
690,Aston Oxborough ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
691,Reece Oxford ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
692,Alex Oxlade-Chamberlain ,미드필더,30,,,18,50%,18,22,8,1,,79,75,103,14,29,,0,1,701,23.37,0,46,15%,4,42,1,0,17,2,4,0,4,0,1,0.13,0,0,40,10,25%,0,,,,,,,
693,Mesut 횜zil ,미드필더,18,,,17,47%,4,5,1,0,,71,52,65,1,4,,0,2,836,46.44,1,72,28%,2,21,1,0,14,6,1,0,0,1,0,0.06,0,0,9,3,33%,1,,,,,,,
694,Kasey Palmer ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
695,Erik Palmer-Brown ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
696,Adam Parkes ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
697,David Parkhouse ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
698,Troy Parrott ,공격수,2,,,0,,0,0,0,0,,,,,,,,,0,4,2,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
699,Mario Pasalic ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
700,Felix Passlack ,미드필더,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
701,Alfie Payne ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
702,Bailey Peacock-Farrell ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
703,Pedro ,공격수,11,,,15,,8,9,1,0,,,,,,,,,1,315,28.64,1,20,,,,1,0,8,0,1,0,1,0,0,0.09,0,0,22,10,45%,1,,,,,,,
704,Pedro Neto ,공격수,29,,,9,,5,6,3,0,,,,,,,,,3,349,12.03,5,48,,,,3,0,14,4,3,0,1,2,0,0.1,0,0,17,6,35%,3,,,,,,,
705,Adalberto Pe챰aranda ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
706,Terell Pennant ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
707,Matthew Pennington ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
708,Nicolas P챕p챕 ,공격수,31,,,32,,13,8,4,2,,,,,,,,,6,706,22.77,8,109,,,,4,0,14,4,5,0,0,5,3,0.16,1,0,50,18,36%,2,,,,,,,
709,Pepe Reina ,골키퍼,12,2,20,,,,,,,,,,,,,0,1,0,345,28.75,,,,,101,1,0,1,,0,,,,,,,,,,,,33,1,3,5,2,51,94
710,Roberto Pereyra ,미드필더,28,,,20,40%,8,14,5,3,,98,78,120,5,22,,0,0,613,21.89,1,32,19%,0,12,4,0,21,5,3,0,2,1,0,0.11,1,0,21,9,43%,2,,,,,,,
711,Ayoze P챕rez ,공격수,33,,,45,,11,14,8,4,,,,,,,,,4,734,22.24,6,27,,,,0,0,30,6,8,0,7,1,1,0.24,1,0,47,22,47%,3,,,,,,,
712,Taylor Perry ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
713,Nathaniel Phillips ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
714,Jordan Pickford ,골키퍼,38,9,56,,,,,,,,,,,,,0,4,0,"1,184",31.16,,,,,293,2,0,1,,0,,,,,,,,,,,,94,0,11,19,7,195,264
715,Brandon Pierrick ,공격수,2,,,0,,0,0,1,1,,,,,,,,,0,7,3.5,0,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
716,Erik Pieters ,수비수,24,6,35,54,59%,1,28,48,23,0,97,110,93,33,18,0,0,4,745,31.04,5,41,27%,3,29,2,0,21,0,0,0,0,0,0,,,,,,,,,,,,,,
717,Julio Pleguezuelo ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
718,Paul Pogba ,미드필더,16,,,20,45%,5,7,10,7,,109,94,85,29,11,,1,3,"1,034",64.63,3,6,17%,10,94,1,0,26,2,1,0,1,0,0,0.06,0,0,22,8,36%,3,,,,,,,
719,Nick Pope ,골키퍼,38,15,50,,,,,,,,,,,,,0,2,0,"1,007",26.5,,,,,277,1,0,0,,0,,,,,,,,,,,,120,1,11,46,6,180,304
