,이름,포지션,출전,클린시트,실점,태클 횟수,태클 성공률,슛 블록 횟수,인터셉트 횟수,걷어내기 횟수,해딩 걷어내기 횟수,라인 밖으로 걷어내기 횟수,볼 소유권 가져오기 횟수,경합 승리,경합 실패,공중볼 경합 승리,공중볼 경합 패배,자책골,실점으로 이어진 실책,어시스트,패스 횟수,경기당 평균 패스 횟수,결정적 기회 창출 횟수,크로스 횟수,크로스 성공률,스루패스 횟수,긴 패스 성공률,경고,퇴장,반칙,옵사이드,골,해딩 골,오른발 골,왼발 골,골포스트,경기당 골,페널티킥 골,프리킥 골,슈팅 횟수,유효 수팅,슈팅 성공률,결정적 찬스 놓친 횟수,선방,페널티킥 선방,펀칭,공중볼 처리,캐칭,던지기 횟수,골킥
509,Caolan Lavery ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
510,Achraf Lazaar ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
511,Valentino Lazaro ,미드필더,13,,,13,69%,1,3,3,1,,27,25,27,2,6,,0,0,170,13.08,0,13,31%,0,8,0,1,3,0,1,0,0,1,1,0.08,0,0,4,1,25%,0,,,,,,,
512,Adam Leathers ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
513,Adam Legzdins ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
514,Moritz Leitner ,미드필더,9,,,16,56%,2,9,8,2,,56,38,36,5,4,,0,0,563,62.56,0,5,20%,1,19,1,0,8,0,0,0,0,0,2,0,0,0,8,0,0%,0,,,,,,,
515,Florian Lejeune ,수비수,6,1,10,8,25%,0,10,13,8,0,35,24,19,10,7,0,2,0,197,32.83,0,3,0%,0,14,0,0,6,0,2,0,1,1,0,,,,,,,,,,,,,,
516,Mario Lemina ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
517,Aaron Lennon ,미드필더,16,,,14,57%,0,8,3,0,,24,26,29,2,9,,0,0,118,7.38,0,8,13%,0,2,4,0,10,0,0,0,0,0,0,0,0,0,1,0,0%,0,,,,,,,
518,Bernd Leno ,골키퍼,30,7,39,,,,,,,,,,,,,0,2,0,800,26.67,,,,,74,2,0,0,,0,,,,,,,,,,,,113,1,17,17,11,185,253
